timestame:1619471290.376000000,objid:1,type:0,xpos:0.000000,ypos:0.000000,xspeed:3.970000,yspeed:3.680000,angle:-14.190000,distense:35.600000,rcs:25.000000
timestame:1619471290.376000000,objid:2,type:0,xpos:0.000000,ypos:0.000000,xspeed:7.670000,yspeed:1.630000,angle:20.890000,distense:24.200000,rcs:18.000000
timestame:1619471290.376000000,objid:3,type:0,xpos:0.000000,ypos:0.000000,xspeed:-3.440000,yspeed:-0.590000,angle:-18.000000,distense:26.800000,rcs:6.000000
timestame:1619471290.376000000,objid:4,type:0,xpos:0.000000,ypos:0.000000,xspeed:5.830000,yspeed:2.780000,angle:-17.330000,distense:42.800000,rcs:6.000000
timestame:1619471290.376000000,objid:6,type:0,xpos:0.000000,ypos:0.000000,xspeed:-2.070000,yspeed:-1.440000,angle:-18.000000,distense:33.000000,rcs:20.000000
timestame:1619471290.376000000,objid:9,type:0,xpos:0.000000,ypos:0.000000,xspeed:-3.860000,yspeed:-1.000000,angle:-18.000000,distense:29.600000,rcs:20.000000
timestame:1619471290.376000000,objid:10,type:0,xpos:0.000000,ypos:0.000000,xspeed:-4.150000,yspeed:-1.680000,angle:-18.000000,distense:26.600000,rcs:6.000000
timestame:1619471290.376000000,objid:11,type:0,xpos:0.000000,ypos:0.000000,xspeed:-3.350000,yspeed:-1.330000,angle:-18.000000,distense:27.600000,rcs:13.000000
timestame:1619471290.376000000,objid:13,type:0,xpos:0.000000,ypos:0.000000,xspeed:-5.080000,yspeed:-1.000000,angle:-18.000000,distense:24.400000,rcs:6.000000
