timestame:1619471289.944000000,objid:1,type:0,xpos:0.000000,ypos:0.000000,xspeed:4.030000,yspeed:2.930000,angle:-16.490000,distense:33.200000,rcs:19.000000
timestame:1619471289.944000000,objid:2,type:0,xpos:0.000000,ypos:0.000000,xspeed:7.640000,yspeed:2.020000,angle:22.650000,distense:21.000000,rcs:15.000000
timestame:1619471289.944000000,objid:3,type:0,xpos:0.000000,ypos:0.000000,xspeed:-3.440000,yspeed:-0.590000,angle:-18.000000,distense:27.600000,rcs:6.000000
timestame:1619471289.944000000,objid:4,type:0,xpos:0.000000,ypos:0.000000,xspeed:5.910000,yspeed:2.650000,angle:-17.770000,distense:40.000000,rcs:6.000000
timestame:1619471289.944000000,objid:6,type:0,xpos:0.000000,ypos:0.000000,xspeed:-1.960000,yspeed:-1.380000,angle:-18.000000,distense:33.800000,rcs:16.000000
timestame:1619471289.944000000,objid:9,type:0,xpos:0.000000,ypos:0.000000,xspeed:-4.430000,yspeed:-2.150000,angle:-18.000000,distense:30.600000,rcs:16.000000
timestame:1619471289.944000000,objid:10,type:0,xpos:0.000000,ypos:0.000000,xspeed:-3.940000,yspeed:-1.370000,angle:-18.000000,distense:27.000000,rcs:6.000000
timestame:1619471289.944000000,objid:11,type:0,xpos:0.000000,ypos:0.000000,xspeed:-3.330000,yspeed:-1.460000,angle:-18.000000,distense:28.600000,rcs:9.000000
timestame:1619471289.944000000,objid:13,type:0,xpos:0.000000,ypos:0.000000,xspeed:-5.520000,yspeed:-1.440000,angle:-18.000000,distense:25.600000,rcs:9.000000
