timestame:1619470548.316000000,objid:0,type:0,xpos:0.000000,ypos:0.000000,xspeed:2.460000,yspeed:2.470000,angle:-11.230000,distense:46.000000,rcs:13.000000
timestame:1619470548.316000000,objid:3,type:0,xpos:0.000000,ypos:0.000000,xspeed:-9.230000,yspeed:-0.990000,angle:-18.000000,distense:31.600000,rcs:12.000000
timestame:1619470548.316000000,objid:5,type:0,xpos:0.000000,ypos:0.000000,xspeed:-9.670000,yspeed:-0.470000,angle:-18.000000,distense:27.000000,rcs:6.000000
timestame:1619470548.316000000,objid:7,type:0,xpos:0.000000,ypos:0.000000,xspeed:1.800000,yspeed:3.020000,angle:-18.000000,distense:43.800000,rcs:6.000000
timestame:1619470548.316000000,objid:9,type:0,xpos:0.000000,ypos:0.000000,xspeed:4.010000,yspeed:2.630000,angle:-13.390000,distense:38.600000,rcs:12.000000
timestame:1619470548.316000000,objid:10,type:0,xpos:0.000000,ypos:0.000000,xspeed:-13.210000,yspeed:-2.490000,angle:-18.000000,distense:33.200000,rcs:20.000000
timestame:1619470548.316000000,objid:14,type:0,xpos:0.000000,ypos:0.000000,xspeed:3.910000,yspeed:4.970000,angle:-9.280000,distense:45.200000,rcs:12.000000
timestame:1619470548.316000000,objid:15,type:0,xpos:0.000000,ypos:0.000000,xspeed:-14.070000,yspeed:-8.620000,angle:-18.000000,distense:37.000000,rcs:15.000000
timestame:1619470548.316000000,objid:16,type:0,xpos:0.000000,ypos:0.000000,xspeed:-5.790000,yspeed:-0.410000,angle:-18.000000,distense:39.200000,rcs:20.000000
