timestame:1619471283.292000000,objid:0,type:0,xpos:0.000000,ypos:0.000000,xspeed:-5.530000,yspeed:-5.030000,angle:-9.450000,distense:44.200000,rcs:35.000000
timestame:1619471283.292000000,objid:3,type:0,xpos:0.000000,ypos:0.000000,xspeed:1.390000,yspeed:-5.020000,angle:-18.000000,distense:70.000000,rcs:6.000000
timestame:1619471283.292000000,objid:8,type:0,xpos:0.000000,ypos:0.000000,xspeed:10.390000,yspeed:-20.150000,angle:-18.000000,distense:42.200000,rcs:6.000000
timestame:1619471283.292000000,objid:9,type:0,xpos:0.000000,ypos:0.000000,xspeed:-2.290000,yspeed:-2.090000,angle:-18.000000,distense:40.800000,rcs:31.000000
timestame:1619471283.292000000,objid:10,type:0,xpos:0.000000,ypos:0.000000,xspeed:-2.340000,yspeed:-3.800000,angle:-18.000000,distense:53.400000,rcs:6.000000
timestame:1619471283.292000000,objid:11,type:0,xpos:0.000000,ypos:0.000000,xspeed:6.620000,yspeed:0.960000,angle:6.850000,distense:109.400000,rcs:6.000000
timestame:1619471283.292000000,objid:12,type:0,xpos:0.000000,ypos:0.000000,xspeed:2.360000,yspeed:-7.540000,angle:-3.710000,distense:55.000000,rcs:19.000000
timestame:1619471283.292000000,objid:14,type:0,xpos:0.000000,ypos:0.000000,xspeed:-3.090000,yspeed:-3.740000,angle:-17.630000,distense:62.200000,rcs:6.000000
timestame:1619471283.292000000,objid:18,type:0,xpos:0.000000,ypos:0.000000,xspeed:-39.840000,yspeed:5.460000,angle:-18.000000,distense:14.600000,rcs:6.000000
