timestame:1619470132.037000000,objid:0,type:0,xpos:0.000000,ypos:0.000000,xspeed:-3.120000,yspeed:-5.100000,angle:-12.600000,distense:35.400000,rcs:34.000000
timestame:1619470132.037000000,objid:1,type:0,xpos:0.000000,ypos:0.000000,xspeed:-1.900000,yspeed:-6.300000,angle:-18.000000,distense:36.400000,rcs:20.000000
timestame:1619470132.037000000,objid:2,type:0,xpos:0.000000,ypos:0.000000,xspeed:-7.210000,yspeed:-10.910000,angle:-18.000000,distense:31.400000,rcs:6.000000
timestame:1619470132.037000000,objid:4,type:0,xpos:0.000000,ypos:0.000000,xspeed:-5.220000,yspeed:-7.190000,angle:-18.000000,distense:32.400000,rcs:26.000000
timestame:1619470132.037000000,objid:7,type:0,xpos:0.000000,ypos:0.000000,xspeed:-7.990000,yspeed:-0.470000,angle:-7.470000,distense:96.800000,rcs:12.000000
timestame:1619470132.037000000,objid:8,type:0,xpos:0.000000,ypos:0.000000,xspeed:3.980000,yspeed:1.010000,angle:-17.510000,distense:22.000000,rcs:26.000000
timestame:1619470132.037000000,objid:11,type:0,xpos:0.000000,ypos:0.000000,xspeed:-1.680000,yspeed:-2.060000,angle:-18.000000,distense:36.200000,rcs:6.000000
timestame:1619470132.037000000,objid:15,type:0,xpos:0.000000,ypos:0.000000,xspeed:3.640000,yspeed:1.490000,angle:22.710000,distense:31.600000,rcs:6.000000
timestame:1619470132.037000000,objid:17,type:0,xpos:0.000000,ypos:0.000000,xspeed:-3.930000,yspeed:-8.170000,angle:-18.000000,distense:51.000000,rcs:6.000000
