timestame:1619471290.006000000,objid:1,type:0,xpos:0.000000,ypos:0.000000,xspeed:4.000000,yspeed:3.040000,angle:-16.170000,distense:33.400000,rcs:16.000000
timestame:1619471290.006000000,objid:2,type:0,xpos:0.000000,ypos:0.000000,xspeed:7.920000,yspeed:1.530000,angle:21.800000,distense:21.600000,rcs:18.000000
timestame:1619471290.006000000,objid:3,type:0,xpos:0.000000,ypos:0.000000,xspeed:-3.440000,yspeed:-0.590000,angle:-18.000000,distense:27.400000,rcs:6.000000
timestame:1619471290.006000000,objid:4,type:0,xpos:0.000000,ypos:0.000000,xspeed:5.910000,yspeed:2.650000,angle:-17.760000,distense:40.400000,rcs:6.000000
timestame:1619471290.006000000,objid:6,type:0,xpos:0.000000,ypos:0.000000,xspeed:-2.070000,yspeed:-1.440000,angle:-18.000000,distense:33.600000,rcs:20.000000
timestame:1619471290.006000000,objid:9,type:0,xpos:0.000000,ypos:0.000000,xspeed:-4.610000,yspeed:-2.070000,angle:-18.000000,distense:30.200000,rcs:18.000000
timestame:1619471290.006000000,objid:10,type:0,xpos:0.000000,ypos:0.000000,xspeed:-3.940000,yspeed:-1.370000,angle:-18.000000,distense:26.800000,rcs:6.000000
timestame:1619471290.006000000,objid:11,type:0,xpos:0.000000,ypos:0.000000,xspeed:-3.330000,yspeed:-1.460000,angle:-18.000000,distense:28.600000,rcs:9.000000
timestame:1619471290.006000000,objid:13,type:0,xpos:0.000000,ypos:0.000000,xspeed:-4.250000,yspeed:-2.110000,angle:-18.000000,distense:26.000000,rcs:9.000000
