timestame:1619470884.318000000,objid:4,type:0,xpos:0.000000,ypos:0.000000,xspeed:1.000000,yspeed:-3.950000,angle:17.010000,distense:45.800000,rcs:34.000000
timestame:1619470884.318000000,objid:6,type:0,xpos:0.000000,ypos:0.000000,xspeed:-1.010000,yspeed:-0.990000,angle:-18.000000,distense:32.600000,rcs:12.000000
timestame:1619470884.318000000,objid:7,type:0,xpos:0.000000,ypos:0.000000,xspeed:-2.700000,yspeed:-2.690000,angle:-18.000000,distense:31.400000,rcs:18.000000
timestame:1619470884.318000000,objid:13,type:0,xpos:0.000000,ypos:0.000000,xspeed:17.450000,yspeed:4.200000,angle:-18.000000,distense:47.400000,rcs:9.000000
timestame:1619470884.318000000,objid:15,type:0,xpos:0.000000,ypos:0.000000,xspeed:1.290000,yspeed:-4.180000,angle:-17.680000,distense:44.000000,rcs:18.000000
timestame:1619470884.318000000,objid:16,type:0,xpos:0.000000,ypos:0.000000,xspeed:-3.990000,yspeed:-1.450000,angle:-18.000000,distense:29.400000,rcs:12.000000
timestame:1619470884.318000000,objid:18,type:0,xpos:0.000000,ypos:0.000000,xspeed:-1.470000,yspeed:-2.730000,angle:-18.000000,distense:34.600000,rcs:12.000000
timestame:1619470884.318000000,objid:20,type:0,xpos:0.000000,ypos:0.000000,xspeed:1.600000,yspeed:-3.200000,angle:-13.010000,distense:55.400000,rcs:12.000000
timestame:1619470884.318000000,objid:24,type:0,xpos:0.000000,ypos:0.000000,xspeed:2.440000,yspeed:-0.580000,angle:-1.030000,distense:43.400000,rcs:6.000000
