timestame:1619471283.785000000,objid:0,type:0,xpos:0.000000,ypos:0.000000,xspeed:-2.450000,yspeed:-3.700000,angle:-11.460000,distense:44.200000,rcs:32.000000
timestame:1619471283.785000000,objid:1,type:0,xpos:0.000000,ypos:0.000000,xspeed:-3.850000,yspeed:-5.280000,angle:-18.000000,distense:38.400000,rcs:13.000000
timestame:1619471283.785000000,objid:2,type:0,xpos:0.000000,ypos:0.000000,xspeed:-7.090000,yspeed:-5.210000,angle:-18.000000,distense:41.000000,rcs:31.000000
timestame:1619471283.785000000,objid:3,type:0,xpos:0.000000,ypos:0.000000,xspeed:1.390000,yspeed:-5.020000,angle:-18.000000,distense:72.000000,rcs:6.000000
timestame:1619471283.785000000,objid:8,type:0,xpos:0.000000,ypos:0.000000,xspeed:10.390000,yspeed:-20.150000,angle:-18.000000,distense:51.600000,rcs:6.000000
timestame:1619471283.785000000,objid:9,type:0,xpos:0.000000,ypos:0.000000,xspeed:-2.190000,yspeed:-1.930000,angle:-18.000000,distense:40.400000,rcs:19.000000
timestame:1619471283.785000000,objid:11,type:0,xpos:0.000000,ypos:0.000000,xspeed:6.620000,yspeed:0.960000,angle:6.890000,distense:112.600000,rcs:6.000000
timestame:1619471283.785000000,objid:12,type:0,xpos:0.000000,ypos:0.000000,xspeed:3.010000,yspeed:-11.000000,angle:-10.050000,distense:57.400000,rcs:6.000000
timestame:1619471283.785000000,objid:14,type:0,xpos:0.000000,ypos:0.000000,xspeed:-2.970000,yspeed:-3.670000,angle:-18.000000,distense:61.400000,rcs:6.000000
