1622082428830000000,$GPFPD,2159,354446.830,199.353,7.569,2.693,39.0824511,117.0424365,-6.69,0.075,-1.670,-0.017,0.000,0,32,45*64
1622082428840000000,$GPFPD,2159,354446.840,199.101,7.571,2.693,39.0824510,117.0424365,-6.69,0.083,-1.669,-0.017,0.000,0,32,45*6F
1622082428850000000,$GPFPD,2159,354446.850,198.850,7.575,2.693,39.0824508,117.0424365,-6.69,0.090,-1.668,-0.017,0.000,0,32,45*6C
1622082428860000000,$GPFPD,2159,354446.860,198.598,7.577,2.694,39.0824507,117.0424366,-6.69,0.097,-1.667,-0.016,0.000,0,32,45*66
1622082428870000000,$GPFPD,2159,354446.870,198.348,7.580,2.694,39.0824505,117.0424366,-6.69,0.104,-1.665,-0.015,0.000,0,32,45*6C
1622082428880000000,$GPFPD,2159,354446.880,198.098,7.580,2.694,39.0824504,117.0424366,-6.69,0.111,-1.663,-0.015,0.000,0,32,45*6E
1622082428890000000,$GPFPD,2159,354446.890,197.848,7.582,2.695,39.0824502,117.0424366,-6.69,0.118,-1.661,-0.014,0.000,0,32,45*6A
1622082428900000000,$GPFPD,2159,354446.900,197.598,7.587,2.697,39.0824501,117.0424366,-6.69,0.124,-1.660,-0.014,0.000,0,32,45*68
1622082428910000000,$GPFPD,2159,354446.910,197.349,7.590,2.698,39.0824499,117.0424366,-6.69,0.130,-1.659,-0.013,0.000,0,32,45*62
1622082428920000000,$GPFPD,2159,354446.920,197.100,7.588,2.697,39.0824498,117.0424366,-6.69,0.136,-1.657,-0.012,0.000,0,32,45*60
1622082428930000000,$GPFPD,2159,354446.930,196.850,7.587,2.695,39.0824496,117.0424367,-6.69,0.143,-1.655,-0.011,0.000,0,32,45*6D
1622082428940000000,$GPFPD,2159,354446.940,196.601,7.589,2.699,39.0824495,117.0424367,-6.69,0.150,-1.653,-0.011,0.000,0,32,45*65
1622082428950000000,$GPFPD,2159,354446.950,196.352,7.589,2.700,39.0824493,117.0424367,-6.69,0.156,-1.651,-0.011,0.000,0,32,45*64
1622082428960000000,$GPFPD,2159,354446.960,196.103,7.587,2.703,39.0824492,117.0424367,-6.69,0.163,-1.649,-0.010,0.000,0,32,45*63
1622082428970000000,$GPFPD,2159,354446.970,195.854,7.586,2.703,39.0824490,117.0424367,-6.69,0.169,-1.647,-0.009,0.000,0,32,45*65
1622082428980000000,$GPFPD,2159,354446.980,195.606,7.585,2.706,39.0824489,117.0424367,-6.69,0.176,-1.645,-0.008,0.000,0,32,45*60
1622082428990000000,$GPFPD,2159,354446.990,195.358,7.584,2.712,39.0824487,117.0424368,-6.69,0.183,-1.644,-0.008,0.000,0,32,45*61
1622082429000000000,$GPFPD,2159,354447.000,195.110,7.581,2.716,39.0824486,117.0424368,-6.69,0.190,-1.642,-0.008,0.000,0,32,45*6A
1622082429010000000,$GPFPD,2159,354447.010,194.862,7.579,2.719,39.0824484,117.0424368,-6.69,0.197,-1.640,-0.007,0.000,0,32,45*66
1622082429020000000,$GPFPD,2159,354447.020,194.614,7.577,2.722,39.0824483,117.0424368,-6.69,0.203,-1.638,-0.007,0.000,0,32,45*6A
1622082429030000000,$GPFPD,2159,354447.030,194.367,7.575,2.729,39.0824481,117.0424369,-6.69,0.210,-1.637,-0.007,0.000,0,32,45*6D
1622082429040000000,$GPFPD,2159,354447.040,194.107,7.577,2.737,39.0824480,117.0424369,-6.69,0.226,-1.619,-0.006,0.000,0,32,45*6A
1622082429050000000,$GPFPD,2159,354447.050,193.860,7.574,2.741,39.0824479,117.0424370,-6.69,0.233,-1.616,-0.005,0.000,0,32,45*60
